sep=|
Section A Basic Constants I.
No.|Formula|Name|CAS #|Mol. Wt.|Tfp, K|Tb, K|Tc, K|Pc, bar|Vc, cm3/mol|PcVc/RTc|Omega
1|Ar|argon|7440-37-1|39.948|83.80|87.27|150.86|48.98|74.57|0.291|-0.002
2|Br2|bromine|7726-95-6|159.808|265.85|331.90|584.10|103.00|135.00|0.269|0.119
3|BrD|deuterium bromide|13536-59-9|81.918|185.69|206.65|362.00||||
4|BrF3|bromine trifluoride|7787-71-5|136.899|281.92|398.89|600.00|49.90|114.70|0.115|0.413
5|BrF5|bromine pentafluoride|7789-30-2|174.896|212.65|314.31|470.00||||
6|BrH|hydrogen bromide|10035-10-6|80.912|186.34|206.46|363.20|85.10|||0.069
7|CBrClF2|bromochlorodifluoromethane|353-59-3|165.365|113.65|269.20|426.90|42.60|246.00|0.295|0.182
8|CBrF3|bromotrifluoromethane|75-63-8|148.910|105.15|215.41|340.15|39.70|200.00|0.275|0.174
9|CBr2F2|dibromodifluoromethane|75-61-6|209.816|163.05|295.94|471.30|45.30|250.00|0.286|
10|CClF3|chlorotrifluoromethane|75-72-9|104.459|92.00|191.71|301.84|38.73|180.30|0.276|0.175
11|CCl2F2|dichlorodifluoromethane (R-12)|75-71-8|120.913|115.19|243.45|385.10|41.30|217.00|0.280|0.179
12|CCl3F|trichlorofluoromethane (R-11)|75-69-4|137.368|162.69|296.81|471.10|44.72|248.00|0.283|0.195
13|CCI4|tetrachloromethane|56-23-5|153.822|250.33|349.79|556.30|45.57|276.00|0.271|
14|CF4|tetrafluoromethane|75-73-0|88.005|89.55|145.11|227.51|37.45|140.70|0.279|0.177
15|CHBrF2|bromodifluoromethane|1511-62-2|130.920|258.65|257.68|412.00|47.90|167.00|0.234|0.172
16|CHClF2|chlorodifluoromethane (R-22)|75-45-6|86.468|115.73|232.14|369.28|49.86|166.00|0.274|0.221
17|CHCl2F|dichlorofluoromethane|75-43-4|102.923|138.20|281.97|451.52|51.87|196.00|0.271|0.207
18|CHCl3|trichloromethane|67-66-3|119.377|209.74|334.33|536.50|55.00|240.00|0.296|
19|chf3|trifluoromethane (R-23)|75-46-7|70.014|117.96|191.11|298.97|48.36|133.00|0.259|0.267
20|CH2Cl2|dichloromethane|75-09-2|84.932|176.00|312.79|510.00|61.00|||
21|CH2F2|difluoromethane|75-10-5|52.024|137.00|221.43|351.26|58.05|121.00|0.245|0.278
22|ch2o2|methanoic acid (formic acid)|64-18-6|46.026|281.50|374.04|588.00|58.07|||0.316
23|CH3Cl|chloromethane|74-87-3|50.488|175.44|248.95|416.20|66.80|143.00|0.276|0.151
24|ch3f|fluoromethane|593-53-3|34.033|131.35|194.88|315.00|55.48|113.30|0.240|0.204
25|ch3no2|nitromethane|75-52-5|61.040|244.60|374.35|588.00|58.70|173.00|0.208|
26|CH4|methane|74-82-8|16.043|90.69|111.66|190.56|45.99|98.60|0.286|0.011
27|ch4o|methanol|67-56-1|32.042|175.49|337.69|512.64|80.97|118.00|0.224|0.565
28|ch4s|methanethiol (methyl mercaptan)|74-93-1|48.109|150.18|279.11|470.00|72.30|145.00|0.268|0.150
29|ch5n|methanamine (methyl amine)|74-89-5|31.057|179.69|266.82|430.00|74.20|125.00|0.259|0.283
30|CO|carbon monoxide|630-08-0|28.010|68.15|81.66|132.85|34.94|93.10|0.292|0.045
31|CO2|carbon dioxide|124-38-9|44.010|216.58||304.12|73.74|94.07|0.274|0.225
32|C2Br2ClF3|1,2-dibromo-2-chloro-1,1,2-trifluroethane|354-51-8|276.278|323.15|367.06|561.20|36.10|357.80|0.285|0.251
33|C2ClF5|1-chloro-1,1,2,2,2-pentafluoroethane|76-15-3|154.467|173.73|234.08|353.10|31.29|256.00|0.273|0.251
34|C2Cl2F4|1,1-dichloro-1,2,2,2-tetrafluoroethane|374-07-2|170.921|216.58|276.59|418.70|32.13|294.00|0.271|0.244
35|C2Cl2F4|1,2-dichloro-1,1,2,2-tetrafluoroethane|76-14-2|170.921|180.55|276.58|418.90|32.37|294.00|0.273|0.246
36|C2CI3F3|1,1,2-trichloro-1,2,2-trifluoroethane|76-13-1|187.375|236.95|320.74|487.40|33.78|325.00|0.274|0.249
37|C2F4|tetrafluoroethene|116-14-3|100.016|142.00|197.51|306.40|39.44|172.00|0.266|
38|C2F6|hexafluoroethane|76-16-4|138.012|173.05|195.21|293.04|30.39|221.90|0.277|0.257
39|C2HBrClF3|1-bromo-1-chloro-2,2,2-trifluoroethane|151-67-7|197.382||323.32|492.20|38.00|302.00|0.280|0.283
40|C2HBrClF3|1-bromo-2-chloro-1,1,2-trifluoroethane|354-06-3|197.382||325.70|487.30|34.20|304.00|0.257|0.320
41|C2HClF4|1-chloro-1,1,2,2-tetrafluoroethane|354-25-6|136.476|156.15|261.38|400.00|37.60|244.00|0.285|0.260
42|C2HClF4|1-chloro-1,2,2,2-tetrafluoroethane|2837-89-0|136.476|155.00|261.19|395.60|36.34|243.80|0.269|0.288
43|C2HCl2F3|1,1-dichloro-2,2,2-trifluoroethane (R-123)|306-83-2|152.931|166.00|300.81|456.90|36.74|278.05|0.269|0.282
44|C2HCl2F3|1,2-dichloro-1,2,2-trifluoroethane|354-23-4|152.931|195|301|461.7||278.00||
45|C2HF5|pentafluoroethane|354-33-6|120.022|170.15|225.06|339.17|36.15|211.30|0.271|0.305
46|C2HF5O|pentafluorodimethyl ether (E-125)|3822-68-2|136.022|116.00|235.00|354.50|36.31|236.11|0.237|0.326
47|C2H2|ethyne (acetylene)|74-86-2|26.038|192.35|188.40|308.30|61.14|112.20|0.268|0.189
48|C2H2F2|1,1-difluoroethene|75-38-7|64.035|129.15|187.50|303.20|44.33|153.50|0.270|
49|C2H2F4|1,1,1,2-tetrafluoroethane (R-134a)|811-97-2|102.032|172.15|247.04|374.26|40.59|200.80|0.262|0.326
50|C2H2F4|1,1,2,2-tetrafluoroethane (R-134)|359-35-3|102.032|184.15|253.10|391.74|46.40|190.40|0.271|0.293
51|C2H3ClF2|1-chloro-1,1-difluoroethane|75-68-3|100.495|142.35|264.05|410.30|40.48|231.00|0.267|0.231
52|C2H3Cl2F|1,1-dichloro-1-fluoroethane (R-141b)|1717-00-6|116.950|169.60|305.20|477.35|42.50|254.00|0.272|0.225
53|C2H3F3|1,1,1-trifluoroethane (R-143a)|420-46-2|84.041|161.85|225.86|346.30|37.92|193.60|0.255|0.259
54|C2H3F3|1,1,2-trifluoroethane (R-143)|430-66-0|84.041|189.15|276.85|429.80|52.41|179.20|0.263|0.315
55|C2H4|ethene (ethylene)|74-85-1|28.054|103.99|169.42|282.34|50.41|131.10|0.282|0.087
56|C2H4Br2|1,2-dibromoethane|106-93-4|187.862|283.05|404.50|582.90|71.50|261.70||
57|C2H4Cl2|1,1-dichloroethane|75-34-3|98.959|176.19|330.45|523.00|51.00|236.00|0.277|
58|C2H4Cl2|1,2-dichloroethane|107-06-2|98.959|237.46|356.66|561.00|54.00|220.00|0.255|
59|C2H4F2|1,1-difluoroethane (R-152a)|75-37-6|66.051|156.15|249.10|386.41|45.16|181.00|0.252|0.276
60|C2H4O2|ethanoic acid (acetic acid)|64-19-7|60.053|289.77|391.04|594.45|57.90|171.00|0.200|0.445
61|C2H4O2|methyl methanoate (methyl formate)|107-31-3|60.053|174.15|304.90|487.20|60.00|172.00|0.255|
62|C2H5Br|bromoethane|74-96-4|108.966|154.55|311.50|503.80|62.30|214.90||
63|C2H5Cl|chloroethane|75-00-3|64.514|134.82|285.42|460.30|53.00|199.00|0.276|
64|C2H5F|fluoroethane|353-36-6|48.060|129.95|235.43|375.28|50.27|164.00|0.267|0.217
65|C2H6|ethane|74-84-0|30.070|90.35|184.55|305.32|48.72|145.50|0.279|0.099
66|C2H6O|ethanol|64-17-5|46.069|159.05|351.80|513.92|61.48|167.00|0.240|0.649
67|C2H6O|dimethyl ether|115-10-6|46.069|131.65|248.31|400.10|54.00|170.00|0.276|
68|C2H6S|ethanethiol (ethyl mercaptan)|75-08-1|62.136|152.15|308.15|499.00|54.90|207.00|0.274|
69|C2H6S|2-thiapropane (dimethylsulfide)|75-18-3|62.136|174.85|310.48|503.00|55.30|201.00|0.266|
70|C2H7N|ethanamine (ethyl amine)|75-04-7|45.084|192.15|289.75|456.40|56.30|181.80|0.267|0.276
71|c2h7n|N-methylmethanamine (dimethyl amine)|124-40-3|45.084|180.96|280.00|437.20|53.40|180.00|0.264|
72|C3F8|octafluoropropane (R-218)|76-19-7|188.020|125.60|236.60|345.10|26.80|299.82|0.280|0.325
73|c3hf7|1,1,1,2,3,3,3-heptafluoropropane|431-89-0|170.030||293.00|376.00||293.15||
74|C3H,ClF5O|2-chloro-1,1,2-trifluoroethyl|13838-16-9|184.493||329.98|475.03|29.80|||0.430
75|C3H,ClF5O|1-chloro-2,2,2-trifluoroethyl|26675-46-7|184.493||322.42|467.80|30.46|||0.402
76|C3H2F6|1,1,1,2,3,3-hexafluoropropane (R-236ea)|431-63-0|152.050||279.00|412.50||268.88||0.382
77|C3H2F6|1,1,1,3,3,3-hexafluoropropane (R-236fa)|690-39-1|152.050|232.65||398.10||277.21||0.377
78|C3H3F5|1,1,1,2,2-pentafluoropropane (R-245cb)|1814-88-6|134.050||255.10|380.40|31.48|268.74|0.267|0.297
79|c3h3f5|1,1,1,3,3-pentafluoropropane (R-245fa)|460-73-1|134.050|||427.00||259.28||0.385
80|c3h3f5|1,1,2,2,3-pentafluoropropane (R-245ca)|679-86-7|134.050|191.20|301.20|447.60||256.02||0.353
81|c3h3f5o|2-(difluoromethoxy)-1,1,1-trifluoroethane|1885-48-9|150.050||302.20|444.00||291.02||
82|c3h3no|1,2-oxazole(isoxazole)|288-14-2|55.058||368.61|590.00|61.00|190.94|0.237|0.258
83|C3H4|1-propyne (methyl acetylene)|74-99-7|40.065|170.50|250.12|402.40|56.30|163.50|0.275|
84|C3H4|1,2-propadiene|463-49-0|40.065|136.85|238.77|394.00|52.50|173.90|0.279|0.122
85|C3H6|propene (propylene)|115-07-1|42.081|87.89|225.46|364.90|46.00|184.60|0.280|0.142
86|C3H6|cyclopropane|75-19-4|42.081|145.73|240.34|398.25|55.75|162.80|0.274|0.130
87|C3H6Cl2|1,2-dichloropropane|78-87-5|112.187|172.65|369.43|578.00|46.50|287.66|0.278|0.255
88|C3H6O|2-propen-1-ol (allyl alcohol)|107-18-6|58.080||370.23|545.10||||
89|C3H6O|propanone (acetone)|67-64-1|58.080|178.50|329.22|508.10|47.00|209.00|0.233|0.307
90|C3H6O2|propanoic acid|79-09-4|74.079|252.31|414.31|604.00|45.30|233.00|0.207|0.539
91|C3H6O2|methyl ethanoate (methyl acetate)|79-20-9|74.079|175.15|330.09|506.80|46.90|228.00|0.254|
92|C3H6O2|ethyl methanoate (ethyl formate)|109-94-4|74.079|193.55|327.47|508.50|47.40|229.00|0.257|0.282
93|C3H6O3|dimethylcarbonate|616-38-6|90.084||363.24|557.00|48.00|251.63|0.261|0.336
94|C3H7Cl|1-chloropropane|540-54-5|78.541|150.35|319.67|503.10|45.80|254.00|0.278|
95|C3H8|propane|74-98-6|44.097|91.45|231.02|369.83|42.48|200.00|0.276|0.152
96|C3H8O|1-propanol|71-23-8|60.096|147.00|370.93|536.78|51.75|219.00|0.254|0.629
97|C3H8O|2-propanol|67-63-0|60.096|183.65|355.39|508.30|47.62|220.00|0.248|0.665
98|C3H8O|methyl ethyl ether|540-67-0|60.096|160.00|280.50|437.80|44.00|221.00|0.267|0.236
99|C3H8S|2-thiabutane (methyl ethyl sulfide)|624-89-5|76.163|167.24|339.80|533.00|42.60|260.00|0.250|
100|c3h9n|1-propanamine (propyl amine)|107-10-8|59.111|188.35|320.38|497.00|48.00|235.00|0.273|0.283
101|c3h9n|2-propanamine (methyl ethyl amine)|75-31-0|59.111|177.95|304.93|471.80|45.40|221.00|0.256|0.277
102|C3H9N|N,N-dimethylmethanamine (trimethyl|75-50-3|59.111|155.85|276.02|433.30|40.75|254.00|0.266|
103|C3H9NO|2-ethoxymethanamine|109-83-1|75.112||432.39|630.00|53.00|259.01|0.262|0.604
104|C4F8|octafluorocyclobutane|115-25-3|200.031|232.96|267.17|388.37|27.78|324.80|0.279|
105|C4F10|decafluoro-2-methylpropane|354-92-7|238.028||273.15|395.40|24.20|378.00|0.278|
106|C4H4O|furan|110-00-9|68.075|187.54|304.44|490.15|55.00|218.00|0.281|
107|C4H4S|thiophene|110-02-1|84.142|233.75|357.31|580.00|56.60|219.00|0.252|
108|C4H5N|pyrrole|109-97-7|67.090|249.74|403.00|639.70|63.30|200.00|0.238|
109|C4H6|1-butyne|107-00-6|54.092|147.29|281.21|440.00|46.00|208.00|0.262|0.245
110|C4H6|1,3-butadiene|106-99-0|54.092|164.24|268.62|425.00|43.20|221.00|0.270|0.195
111|C4H6O3|acetic anhydride|108-24-7|102.090|199.00|412.69|606.00|40.00|||0.456
112|C4H8|cyclobutane|287-23-0|56.108|182.42|285.64|460.00|49.90|218.00|0.275|0.185
113|C4H8|1-butene|106-98-9|56.108|87.79|266.92|419.50|40.20|240.80|0.278|0.194
114|C4H8|trans-2-butene|624-64-6|56.108|167.58|274.03|428.60|41.00|237.70|0.276|0.218
115|C4H8|cis-2-butene|590-18-1|56.108|134.25|276.87|435.50|42.10|233.80|0.269|0.203
116|C4H8|2-methylpropene|115-11-7|56.108|132.81|266.24|417.90|40.00|238.80|0.275|0.199
117|C4H8O|butanone (methyl ethyl ketone)|78-93-3|72.107|186.51|352.71|536.80|42.10|267.00|0.252|0.322
118|C4H8O|tetrahydrofuran|109-99-9|72.107|164.61|339.12|540.20|51.90|224.00|0.259|
119|c4h8o2|butanoic acid|107-92-6|88.106|267.97|436.87|624.00|40.30|292.00|0.227|0.600
120|C4H8O2|2-methylpropanoic acid|79-31-2|88.106|227.05|427.57|605.00|37.00|290.00|0.213|0.618
121|C4H8O2|1,3-dioxane|505-22-6|88.106|228.15|379.20|588.00|45.80|257.00|0.241|
122|C4H8O2|1,4-dioxane|123-91-1|88.106|284.15|374.50|587.00|51.70|238.00|0.255|
123|C4H8O2|methyl propanoate|554-12-1|88.106|185.65|352.60|530.60|40.00|282.00|0.256|0.349
124|C4H8O2|ethyl ethanoate (ethyl acetate)|141-78-6|88.106|189.55|350.21|523.20|38.30|286.00|0.252|0.361
125|C4H8O2|propyl methanoate (propyl formate)|110-74-7|88.106|180.25|354.69|538.00|40.60|285.00|0.259|0.320
126|C^Cl|2-chlorobutane|78-86-4|92.568|141.85|341.24|520.60|36.80|312.00|0.265|0.267
127|C4H19|butane|106-97-8|58.123|134.79|272.66|425.12|37.96|255.00|0.274|0.200
128|CH10|2-methylpropane (isobutane)|75-28-5|58.123|113.54|261.34|407.85|36.40|262.70|0.278|0.186
129|C4H10N2|piperazine|110-85-0|86.136|384.6|421.772|661.00||267.50||
130|C4H10O|1-butanol|71-36-3|74.123|183.35|390.88|563.05|44.23|275.00|0.260|0.590
131|C4H10O|2-methyl-1-propanol (isobutanol)|78-83-1|74.123||381.04|547.78|43.00|273.00|0.258|0.590
132|C4H10O|2-methyl-2-propanol (tert-butanol)|75-65-0|74.123|298.55|355.49|506.21|39.73|275.00|0.260|0.613
133|C4H10O|2-butanol (sec-butanol)|78-92-2|74.123|158.50|372.66|536.05|41.79|269.00|0.252|0.574
134|C4H10O|diethyl ether|60-29-7|74.123|156.86|307.59|466.70|36.40|280.00|0.263|0.281
135|C4H10O2|1,2-dimethoxyethane|110-71-4|90.126||358.15|537.00||270.64||
136|C4H10O2|1,2-butanediol|26171-83-5|90.126||469.58|680.00||303.05||
137|C4H10O2|1,3-butanediol|107-88-0|136.154||481.38|676.00||305.00||
138|C4H10S|3-thiapentane (diethyl sulfide)|352-93-2|90.189|169.22|365.25|557.00|39.60|318.00|0.269|0.295
139|C4HuN|1-butanamine (butyl amine)|109-73-9|73.138|224.05|349.44|526.80|40.40|290.00|0.267|0.338
140|C4HuN|N-ethylethanamine (diethyl amine)|109-89-7|73.138|223.35|328.60|496.60|37.10|301.00|0.270|
141|C4HuN|2-methyl-1-propanamine (isobutyl|78-81-9|73.138|188.55|340.81|528.50|40.20|286.00|0.262|0.220
142|C5F12|dodecafluoropentane|678-26-2|288.036|263.15|302.35|422.00|20.40|383.10|0.272|0.415
143|c5h5n|pyridine|110-86-1|79.101|231.43|388.37|620.00|56.70|254.00|0.267|0.242
144|C5H6O|2-methylfuran|534-22-5|82.102|178.87|337.87|527.85|47.20|246.40|0.255|0.278
145|C5H8|1-pentyne|627-19-0|68.119|167.50|313.38|470.00|41.70|277.00|0.296|0.394
146|C5H8|cyclopentene|142-29-0|68.119|138.05|317.35|506.50|48.00|245.00|0.279|
147|C5H8O|cyclopentanone|120-92-3|84.118|222.50|403.72|624.50|46.00|268.00|0.237|0.288
148|C5H10|cyclopentane|287-92-3|70.134|179.28|322.38|511.60|45.08|260.00|0.276|
149|C5H10|1-pentene|109-67-1|70.134|106.95|303.11|464.80|35.60|298.40|0.275|0.237
150|C5H10|cis-2-pentene|627-20-3|70.134|121.78|310.07|475.00|36.90|302.10|0.273|0.253
151|C5H10|2-methyl-2-butene|513-35-9|70.134|139.40|311.70|470.00|38.60|292.00|0.288|0.339
152|C5H10|3-methyl-1-butene|563-45-1|70.134|104.65|293.21|452.70|35.50|304.90|0.288|0.211
153|C5H1oO|cyclopentanol|96-41-3|86.134||413.49|619.50|49.00|||0.420
154|C5H1oO|2-pentanone (methyl propyl ketone)|107-87-9|86.134|196.34|375.39|561.10|36.90|301.00|0.238|0.346
155|CsH^O|3-pentanone (diethyl ketone)|96-22-0|86.134|234.20|375.14|561.50|37.30|336.00|0.268|0.342
156|CsHjoO|3-methyl-2-butanone (methyl isopropyl|563-80-4|86.134|181.15|367.55|567.70|36.20|310.00|0.238|0.216
157|CsH,oO|2-methyltetrahydrofuran|96-47-9|86.134|137.04|353.37|537.00|37.60|267.00|0.225|0.292
158|CsH!oO2|pentanoic acid|109-52-4|102.133|239.45|459.31|643.00|35.80|336.20||0.670
159|CsH:oO2|3-methylbutanoic acid|503-74-2|102.133|243.85|449.68|629.00|34.00|||0.651
160|CsH!oO2|methyl butanoate|623-42-7|102.133|187.35|375.90|554.40|34.80|340.00|0.257|0.381
161|CsH:oO2|ethyl propanoate|105-37-3|102.133|199.25|372.18|546.00|33.60|345.00|0.255|0.390
162|CsH!oO2|methyl 2-methylpropanoate|547-63-7|102.133|188.45|365.45|540.80|34.30|339.00|0.259|
163|CsH!oO2|propyl ethanoate (propyl acetate)|109-60-4|102.133|178.15|374.65|549.40|33.30|345.00|0.252|0.389
164|CsH^|2-methylpropyl methanoate (isobutyl|542-55-2|102.133|177.35|371.22|551.00|38.80|352.00|0.298|0.400
165|CsH,,C1|1-chloropentane|543-59-9|106.595|174.15|381.54|552.00||||
166|CsH!2|pentane|109-66-0|72.150|143.43|309.22|469.70|33.70|311.00|0.268|0.252
167|CsH,2|2-methylbutane|78-78-4|72.150|113.26|300.99|460.39|33.81|308.30|0.272|0.229
168|CsH,2|2,2-dimethylpropane (neopentane)|463-82-1|72.150|256.58|282.65|433.75|31.99|303.20|0.269|0.197
169|C5H120|1-pentanol|71-41-0|88.150|194.25|411.16|588.15|39.09|326.00|0.262|0.579
170|CsH,2O|2-pentanol|6032-29-7|88.150||392.30|560.30|36.75|329.00|0.260|0.561
171|CsH,2O|2-methyl-1-butanol|137-32-6|88.150||403.79|575.40|39.40|||0.605
172|CsH,2O|2-methyl-2-butanol|75-85-4|88.150|264.40|375.15|545.00|37.90|323.00|0.270|0.478
173|CsH,2O|3-methyl-1-butanol|123-51-3|88.150|155.95|403.69|579.40|39.10|325.00|0.264|0.559
174|CsH,2O|3-methyl-2-butanol|598-75-4|88.150||385.20|556.10|38.70|||
175|CsH,2O|ethyl propyl ether|628-32-0|88.150|146.45|337.01|500.60|32.50|339.00|0.265|0.328
176|CsH,2S|3-methyl-1-butanethiol (isopentyl|541-31-1|104.216|139.64|391.50|604.00|35.00|364.00|0.254|0.191
177|C6C1Fs|chloropentafluorobenzene|344-07-0|202.511||391.11|570.81|32.37|376.00|0.256|0.400
178|C6F6|hexafluorobenzene|392-56-3|186.056||353.40|516.73|32.75|335.00|0.255|0.396
179|C6F12|dodecafluorocyclohexane|355-68-0|300.047|335.65||457.29|22.37|459.00|0.270|
180|C<FM|tetradecafluorohexane|355-42-0|338.044|186.05|329.75|448.70|18.70|573.20|0.274|0.513
181|C6F14|tetradecafluoro-2-methylpentane|355-04-4|338.044||330.75|453.00|18.20|550.00|0.266|
182|C<FM|tetradecafluoro-3-methylpentane|865-71-4|338.044|158.15|331.55|450.00|16.90|531.00|0.240|
183|C6F14|tetradecafluoro-2,3-dimethyl butane|354-96-1|338.044|258.15|332.95|463.00|18.70|528.00|0.255|
184|C6HF5|pentafluorobenzene|363-72-4|168.066|225.85|358.89|530.97|35.37|324.00|0.260|0.374
185|C6H2F4|1,2,4,5-tetrafluorobenzene|327-54-8|150.076||363.50|543.35|37.99|||0.357
186|C6H5CI|chlorobenzene|108-90-7|112.558|227.90|404.91|632.40|45.20|308.00|0.265|0.251
187|C6H6|benzene|71-43-2|78.114|278.68|353.24|562.05|48.95|256.00|0.268|0.210
188|C6H6O|phenol|108-95-2|94.113|314.05|455.04|694.25|61.30|229.00|0.243|0.442
189|C6H7N|benzeneamine (aniline)|62-53-3|93.128|266.85|457.17|699.00|53.10|273.90|0.256|0.380
190|C6H7N|2-methylpyridine (2-picoline)|109-06-8|93.128|206.45|402.50|621.00|46.00|335.00|0.260|0.299
191|C6H7N|3-methylpyridine (3-picoline)|108-99-6|93.128|254.96|417.28|645.00|44.80|288.00|0.241|0.279
192|C6H7N|4-methylpyridine (4-picoline)|108-89-4|93.128|276.80|418.49|645.70|46.60|325.62|0.253|0.305
193|C6H8O|2-cyclohexen-1-one|930-68-7|96.131||445.49|685.00|45.30|305.18|0.243|0.308
194|C6H!0|cyclohexene|110-83-8|82.145|169.67|356.12|560.40||296.88||
195|C6HwO|cyclohexanone|108-94-1|98.144||428.59|653.00|40.00|||0.299
196|C6H!oO|4-methyl-3-penten-2-one (mesityl oxide)|141-79-7|98.147||402.86|605.00||353.43||
197|C6H!2|cyclohexane|110-82-7|84.161|279.69|353.93|553.50|40.73|308.00|0.273|0.211
198|C6H!2|methylcyclopentane|96-37-7|84.161|130.72|344.98|532.79|37.84|319.00|0.272|0.227
199|C6H!2|1-hexene|592-41-6|84.161|133.34|336.63|504.00|31.43|355.10|0.266|0.281
200|C6^2|4-methylpent-1-ene|691-37-2|84.161|119.5|326.82|495.00|32.90|357.9|0.286|0.257
201|C6Ht2O|cyclohexanol|108-93-0|100.161|297.65|433.94|648.00|40.75|333.88|0.253|0.366
202|C6Ht2O|2-hexanone (methyl butyl ketone)|591-78-6|100.161|217.40|400.70|587.00|33.20|378.00|0.254|0.393
203|C6Ht2O|3-hexanone (ethyl propyl ketone)|589-38-8|100.161|217.50|396.65|582.80|33.20|378.00|0.256|0.380
204|C6Ht2O|4-methyl-2-pentanone (methyl isobutyl|108-10-1|100.161|189.15|389.15|574.60|32.70|340.60|0.256|0.351
205|C6H^O|butylvinylether|111-34-2|100.163||367.13|540.50|32.00|383.62|0.273|0.358
206|C6H!2O2|hexanoic acid|142-62-1|116.160||478.38|662.00|32.00|377.20||0.694
207|C6H!2O2|methyl pentanoate|624-24-8|116.160||400.55|567.00|31.90|416.30|0.267|
208|C6H!2O2|ethyl butanoate|105-54-4|116.160|175.15|394.69|566.00|30.60|421.00|0.274|0.463
209|C6H!2O2|propyl propanoate|106-36-5|116.160|197.25|395.64|578.00|30.90|394.00|0.253|0.373
210|C6H^O2|ethyl 2-methylpropanoate|97-62-1|116.160|185.00|383.00|553.00|30.70|421.00|0.281|
211|C6H!2O2|butyl ethanoate (butyl acetate)|123-86-4|116.160|199.65|399.12|579.00|30.90|412.80|0.253|0.407
212|C6H!2O2|2-methylpropyl ethanoate (isobutyl|110-19-0|116.160|174.25|389.72|561.00|31.60|413.00|0.266|0.456
213|C6H12O2|pentyl methanoate (pentyl formate)|638-49-3|116.160|199.65|403.55|576.00|30.90|412.00|0.254|
214|c6h12o2|3-methylbutyl methanoate (isopentyl|110-45-2|116.160|179.65|397.28|578.00|31.30|411.40|0.252|0.400
215|c6h12O3|2-ethoxyethylacetate|111-15-9|132.165||429.74|610.60|31.66|443.5|0.277|0.523
216|c6hm|hexane|110-54-3|86.177|177.84|341.88|507.60|30.25|368.00|0.264|0.300
217|c6hm|2-methylpentane|107-83-5|86.177|119.48|333.40|497.50|30.10|366.70|0.267|0.278
218|C^M|3-methylpentane|96-14-0|86.177|110.26|336.40|504.40|31.20|366.70|0.273|0.273
219|C6H!4|2,2-dimethylbutane|75-83-2|86.177|173.33|322.87|488.70|30.80|359.10|0.272|0.233
220|C6H!4|2,3-dimethylbutane|79-29-8|86.177|144.35|331.12|499.90|31.30|357.60|0.269|0.248
221|C6HmO|1-hexanol|111-27-3|102.177|229.20|430.44|611.40|35.10|381.00|0.263|0.573
222|C6H14O|2-hexanol|626-93-7|102.177|223.00|413.02|586.20|33.80|383.00|0.266|0.562
223|C6H14O|3-hexanol|623-37-0|102.177||408.94|582.40|33.60|383.00|0.266|0.539
224|C6H14O|2-methyl-1-pentanol|105-30-6|102.177||420.76|604.40|34.50|||0.498
225|C6H14O|2-methyl-2-pentanol|590-36-3|102.177|171.15|394.51|559.50|34.70|380.00|0.283|0.573
226|C6H14O|2-methyl-3-pentanol|565-67-3|102.177||401.20|576.00|34.60|||
227|C6H14O|4-methyl-1-pentanol|626-89-1|102.177||424.93|603.50|36.30|380.00|0.275|0.588
228|C6H14O|4-methyl-2-pentanol|108-11-2|102.177||404.86|574.50|33.10|380.00|0.263|0.552
