sep=|
229|c6h15n|N,N-diethylethanamine (triethyl amine)|121-44-8|101.192|158.45|362.90|535.00|30.00|390.00|0.263|
230|c6h15n|N-propyl-1-propanamine (dipropyl|142-84-7|101.192|210.15|382.30|550.00|31.40|402.00|0.276|
231|C7F14|tetradecafluoromethylcyclohexane|355-02-2|350.055|228.45|349.45|485.91|20.19|570.00|0.285|
232|C7F16|hexadecafluoroheptane|335-57-9|388.052|195.15|355.59|475.00|16.50|664.30|0.248|0.561
233|C7H3F5|pentafluorotoluene|771-56-2|182.093|243.35|390.65|566.52|31.24|384.00|0.255|0.415
234|C7H8|toluene|108-88-3|92.141|178.16|383.79|591.75|41.08|316.00|0.264|0.264
235|C7H8O|benzyl alcohol|100-51-6|108.140|257.80|478.46|715.00|43.00|||0.390
236|C7H8O|2-methylphenol (o-cresol)|95-48-7|108.140|302.95|464.17|697.60|50.00|282.00|0.243|0.436
237|C7H8O|3-methylphenol (m-cresol)|108-39-4|108.140|284.95|475.38|705.70|45.60|312.00|0.241|0.452
238|C7H8O|4-methylphenol (p-cresol)|106-44-5|108.140|307.89|475.12|704.50|51.50|277.00|0.244|0.510
239|C7H9N|2,3-dimethylpyridine (2,3 lutidine)|583-61-9|107.155|249.55|434.30|655.40|40.90|367.00|0.275|0.345
240|C7H9N|2,4-dimethylpyridine (2,4 lutidine)|108-47-4|107.155|209.23|431.55|647.00|38.70|367.00|0.264|0.351
241|C7H9N|2,5-dimethylpyridine (2,5 lutidine)|589-93-5|107.155|257.65|430.14|644.20|39.80|367.00|0.273|0.369
242|C7H9N|2,6-dimethylpyridine (2,6 lutidine)|108-48-5|107.155|267.03|416.91|623.80|39.80|367.00|0.282|0.373
243|C7H9N|3,4-dimethylpyridine (3,4 lutidine)|583-58-4|107.155|262.15|452.29|683.80|40.90|367.00|0.264|0.337
244|C7H9N|3,5-dimethylpyridine (3,5 lutidine)|591-22-0|107.155|266.65|445.06|667.20|38.70|367.00|0.256|0.351
245|C7H1A|butyl-2-propenoate(butylacrylate)|141-32-2|128.175||419.77|644.00||427.54||0.312
246|C7H14|cycloheptane|291-64-5|98.188|265.15|391.95|604.30|38.40|359.00|0.274|0.242
247|C7H14|methylcyclohexane|108-87-2|98.188|146.56|374.09|572.19|34.71|368.00|0.268|0.235
248|C7H14|ethylcyclopentane|1640-89-7|98.188|134.70|376.59|569.50|33.97|375.00|0.269|0.270
249|C7H14|cis-1,3-dimethylcyclopentane|2532-58-3|98.188|139.45|364.71|551.00|34.00|363.30|0.277|0.276
250|C7H14|trans-1,3-dimethylcyclopentane|1759-58-6|98.188|139.18|363.90|553.00|34.00|363.30|0.276|0.253
251|C7H14|1-heptene|592-76-7|98.188|153.45|366.79|537.30|29.20|409.00|0.267|0.343
252|C7H14O2|heptanoic acid|111-14-8|130.187||495.35|679.00|29.00|429.70||0.712
253|C7H14O2|ethyl pentanoate|539-82-2|130.187|181.95|419.25|570.00|27.80|449.00|0.263|
254|C7H14O2|ethyl 3-methylbutanoate|108-64-5|130.187|173.85|407.45|588.00|27.30|447.00|0.250|
255|C7H14O2|propyl butanoate|105-66-8|130.187|177.95|416.50|600.00|27.80|449.00|0.250|0.399
256|C7H14O2|2-methylpropyl propanoate|540-42-1|130.187|201.75|409.75|592.00|27.30|447.00|0.248|0.375
257|C7H14O2|propyl 2-methylpropanoate|644-49-5|130.187||408.55|589.00|27.30|447.00|0.249|
258|C7H14O2|3-methylbutyl ethanoate (isopentyl|123-92-2|130.187|194.65|415.20|599.00|28.10|442.00|0.249|
259|C7H16|heptane|142-82-5|100.204|182.59|371.57|540.20|27.40|428.00|0.261|0.350
260|C7H16|2-methylhexane|591-76-4|100.204|154.89|363.18|530.10|27.30|421.00|0.261|0.331
261|C7H16|3-methylhexane|589-34-4|100.204|149.35|365.00|535.20|28.10|404.00|0.255|0.323
262|C7H16|3-ethylpentane|617-78-7|100.204|154.57|366.63|540.50|28.90|415.80|0.267|0.311
263|C7H16|2,2-dimethylpentane|590-35-2|100.204|149.37|352.32|520.40|27.70|415.80|0.266|0.287
264|C7H16|2,3-dimethylpentane|565-59-3|100.204|82.60|362.91|537.30|29.10|393.00|0.256|0.297
265|C7H16|2,4-dimethylpentane|108-08-7|100.204|153.94|353.62|519.70|27.40|417.50|0.265|0.304
266|C7H16|3,3-dimethylpentane|562-49-2|100.204|138.25|359.19|536.30|29.50|414.10|0.274|0.269
267|C7H16|2,2,3-trimethylbutane|464-06-2|100.204|248.15|354.01|531.10|29.50|397.60|0.266|0.250
268|C7H16O|1-heptanol|111-70-6|116.203|239.20|449.81|631.90|31.50|435.00|0.261|0.588
269|C7H16O|2-heptanol|543-49-7|116.203||434.20|608.30|30.21|442.00||
270|C7H16O|4-heptanol|589-55-9|116.203|||602.60||432.00||
271|C8F18|octadecafluorooctane|307-34-6|438.059||379.05|502.20|16.60|534.40|0.281|0.619
272|C8H8O|methylphenylketone(acetophenone)|98-86-2|120.153||475.26|713.00|40.30|380.23|0.258|0.361
273|C8H10|ethylbenzene|100-41-4|106.167|178.18|409.36|617.15|36.09|374.00|0.263|0.304
274|C8H10|1,2-dimethylbenzene (o-xylene)|95-47-6|106.167|247.97|417.59|630.30|37.32|370.00|0.263|0.312
275|C8H10|1,3-dimethylbenzene (m-xylene)|108-38-3|106.167|225.28|412.34|617.00|35.41|375.00|0.259|0.327
276|C8H10|1,4-dimethylbenzene (p-xylene)|106-42-3|106.167|286.41|411.53|616.20|35.11|378.00|0.259|0.322
277|C8H10O|2-ethylphenol|90-00-6|122.167|269.84|477.67|703.00|43.00|342.00|0.252|0.475
278|C8H10O|3-ethylphenol|620-17-7|122.167|269.15|491.58|718.80|41.50|342.00|0.237|0.489
279|C8H10O|4-ethyl-phenol|123-07-9|122.167|318.18|491.15|716.40|40.50|342.00|0.233|0.491
280|C8H10O|2,3-dimethylphenol (2,3-xylenol)|526-75-0|122.167|345.95|490.03|722.80|46.30|470.00|0.263|0.496
281|C8H10O|2,4-dimethylphenol (2,4-xylenol)|105-67-9|122.167|297.68|484.09|707.60|42.80|510.00|0.249|0.506
282|C8H10O|2,5-dimethylphenol (2,5-xylenol)|95-87-4|122.167|347.97|484.29|706.90|42.80|470.00|0.249|0.514
283|C8H10O|2,6-dimethylphenol (2,6-xylenol)|576-26-1|122.167|318.75|474.18|701.00|46.30|520.00|0.272|0.489
284|C8H10O|3,4-dimethylphenol (3,4-xylenol)|95-65-8|122.167|333.95|500.11|729.80|42.80|460.00|0.241|0.512
285|C8H10O|3,5-dimethylphenol (3,5-xylenol)|108-68-9|122.167|336.75|494.85|715.60|41.30|610.00|0.237|0.544
286|C8H16|cyclooctane|292-64-8|112.215|287.95|424.31|647.20|35.70|410.00|0.271|0.254
287|C8H16|t-1,4-dimethylcyclohexane|2207-04-7|112.215|239.85|429.75|587.70||||
288|C8H16|1-octene|111-66-0|112.215|171.46|394.44|567.00|26.80|468.00|0.266|0.393
289|C8Hi6O2|octanoic acid|124-07-2|112.215|289.45|512.01|695.00|26.40|||0.734
290|C8Hi6O2|2-ethylhexanoic acid|149-57-5|144.218||500.66|675.00||554.68||
291|C8H16O2|propyl pentanoate|141-06-0|144.214|202.45|440.65|613.00|25.20|504.00|0.249|
292|C8H16O2|2-methylpropyl butanoate|539-90-2|144.214||430.05|611.00|24.90|502.00|0.246|
293|C8H16O2|propyl 3-methylbutanoate|557-00-6|144.214||429.05|609.00|24.90|502.00|0.247|
294|C8H16O2|3-methylbutyl propanoate|105-68-0|144.214||433.35|611.00|25.50|497.00|0.249|
295|C8H16O2|2-methylpropyl-2-methylpropanoate|97-85-8|144.214|192.45|421.75|602.00|24.50|501.00|0.245|
296|C8H18|octane|111-65-9|114.231|216.39|398.82|568.70|24.90|492.00|0.259|0.399
297|C8H18|2-methylheptane|592-27-8|114.231|164.13|390.80|559.60|24.80|488.20|0.260|0.378
298|C8H18|3-methylheptane|589-81-1|114.231|152.63|392.08|563.60|25.50|471.10|0.253|0.371
299|C8H18|4-methylheptane|589-53-7|114.231|152.21|390.86|561.70|25.40|476.00|0.259|0.371
300|C8H18|3-ethylhexane|619-99-8|114.231||391.69|565.40|26.10|460.50|0.253|0.362
301|C8H18|2,2-dimethylhexane|590-73-8|114.231|151.98|379.99|549.80|25.30|478.00|0.265|0.339
302|C8H18|2,3-dimethylhexane|584-94-1|114.231||388.76|563.40|26.30|468.20|0.263|0.347
303|C8H18|2,4-dimethylhexane|589-43-5|114.231||382.58|553.50|25.60|472.00|0.263|0.344
304|c8h18|2,5-dimethylhexane|592-13-2|114.231|181.99|382.26|550.00|24.90|482.00|0.262|0.357
305|c8h18|3,3-dimethylhexane|563-16-6|114.231|147.06|385.12|562.00|26.50|442.80|0.251|0.320
306|C8Hi8|3,4-dimethylhexane|583-48-2|114.231||390.88|568.80|26.90|458.80|0.265|0.338
307|C8Hi8|3-ethyl-2-methylpentane|609-26-7|114.231|158.18|388.81|567.00|27.00|445.30|0.254|0.331
308|C8Hi8|3-ethyl-3-methylpentane|1067-08-9|114.231|182.31|391.42|576.50|28.10|455.10|0.267|0.305
309|C8Hi8|2,2,3-trimethylpentane|564-02-3|114.231|160.90|382.99|563.40|27.30|436.00|0.254|0.298
310|C8Hi8|2,2,4-trimethylpentane (isooctane)|540-84-1|114.231|165.80|372.39|543.90|25.70|469.70|0.266|0.304
311|C8Hi8|2,3,3-trimethylpentane|560-21-4|114.231|172.48|387.92|573.50|28.20|455.10|0.269|0.291
312|C8Hi8|2,3,4-trimethylpentane|565-75-3|114.231|163.97|386.62|566.30|27.30|456.20|0.267|0.316
313|C8Hi8|2,2,3,3-tetramethylbutane|594-82-1|114.231|373.94|379.44|567.80|28.70|482.00|0.280|0.248
314|C8Hi8O|1-octanol|111-87-5|130.230|257.65|468.33|652.50|28.60|490.00|0.258|0.594
315|C8Hi8O|2-octanol|123-96-6|130.230|241.15|453.03|637.00|28.10|493.00|0.262|0.531
316|C8Hi8O|3-octanol|589-98-0|130.230|||628.50||515.00||
317|C8Hi8O|4-octanol|589-62-8|130.230||440.72|625.10||515.00||
318|C8Hi8O|2-ethyl-l-hexanol|104-76-7|130.230|203.20|457.77|640.50|27.99|||0.558
319|C,H19N|n-octylamine|111-86-4|129.246||451.70|641.00|26.17|517.00|0.254|0.446
320|C,H19N|N-butyl-l-butanamine (dibutyl amine)|111-92-2|129.246|211.15|432.80|602.30|25.70|512.00|0.263|
321|C9F20|eicosafluorononane|375-96-2|488.067||398.45|523.90|15.60|590.60|0.282|0.635
322|C9H7N|quinoline|91-22-5|129.161|257.55|510.30|782.00|45.00|402.00|0.278|0.315
323|C9H7N|isoquinoline|119-65-3|129.161|299.62|516.35|803.00|47.00|402.00|0.283|
324|C9H10|indan|496-11-7|118.178|221.74|451.00|684.90|39.50|393.00|0.273|
325|C9H12|propylbenzene|103-65-1|120.194|173.65|432.35|638.35|32.00|440.00|0.265|0.345
326|C9H12|l-methylethylbenzene (cumene)|98-82-8|120.194|177.12|425.52|631.00|32.09|434.70|0.261|0.326
327|C9H12|l-ethyl-4-methylbenzene|622-96-8|120.194|210.81|435.13|640.20|32.30|440.00|0.259|0.364
328|C9H12|1,2,3-trimethylbenzene|526-73-8|120.194|247.77|449.23|664.50|34.54|435.00|0.267|0.367
329|C9H12|1,2,4-trimethylbenzene|95-63-6|120.194|229.35|442.49|649.10|32.32|435.00|0.256|0.377
330|C9H12|1,3,5-trimethylbenzene (mesitylene)|108-67-8|120.194|228.43|437.90|637.30|31.27|430.00|0.252|0.399
331|C9H18|l-nonene|124-11-8|126.242|191.80|420.03|594.00|23.30|526.00|0.248|0.411
332|C9H18O2|nonanoic acid|112-05-0|158.241||527.74|711.00|24.30|||0.748
333|C9H18O2|3-methylbutyl butanoate|106-27-4|158.241||452.09|619.00|23.30|500.00|0.226|0.583
334|C9H20|nonane|111-84-2|128.258|219.66|423.97|594.60|22.90|555.00|0.257|0.445
335|C9H20|2-methyloctane|3221-61-2|128.258|192.79|416.44|587.00|23.10|529.00|0.250|0.423
336|C9H20|2,2-dimethylheptane|1071-26-7|128.258|160.16|405.97|577.80|23.50|525.00|0.257|0.383
337|C9H20|2,2,5-trimethylhexane|3522-94-9|128.258|167.37|397.24|569.80||519.00||
338|C9H20|2,2,3,3-tetramethylpentane|7154-79-2|128.258|263.26|413.44|607.60|27.40|478.00|0.269|0.304
339|C9H20|2,2,3,4-tetramethylpentane|1186-53-4|128.258|152.06|406.18|592.70|25.30|490.00|0.258|0.301
340|C9H20|2,2,4,4-tetramethylpentane|1070-87-7|128.258|206.64|395.44|574.60|24.90|504.00||0.314
341|C9H20|2,3,3,4-tetramethylpentane|16747-38-9|128.258|171.05|414.71|607.10|26.70|493.00|0.261|0.309
342|C9H20O|1-nonanol|143-08-8|144.257|268.15|486.52|668.90|26.30|544.00|0.261|0.633
343|C9H20O|2-nonanol|628-99-9|144.257||466.70|649.60|25.30|575.00|0.269|
344|C10F22|docosafluorodecane|307-45-9|538.075||417.35|542.30|14.50|624.20|0.279|
345|C10H8|naphthalene|91-20-3|128.174|351.35|491.16|748.40|40.50|407.00|0.265|0.304
346|C10H12|1,2,3,4-tetrahydronaphthalene|119-64-2|132.205|237.35|480.75|720.00|36.50|408.00|0.249|
347|C10H12|1-methylindan|767-58-8|132.205||463.80|694.10|35.30|448.00|0.274|
348|C10H12|2-methylindan|824-63-5|132.205||464.50|695.30|35.30|448.00|0.274|
349|C10H12|4-methylindan|824-22-6|132.205||478.60|716.40|35.30|448.00|0.266|
350|C10H12|5-methylindan|874-35-1|132.205||475.10|711.20|35.30|448.00|0.267|
351|C10H14|butylbenzene|104-51-8|134.221|185.19|456.42|660.50|28.90|497.00|0.262|0.393
352|C10H14|2-methylpropylbenzene (isobutylbenzene)|538-93-2|134.221|221.67|445.90|650.00|30.50|480.00|0.271|0.383
353|C10H14|1,4-diethylbenzene|105-05-5|134.221|230.30|456.90|657.90|28.03|480.50|0.247|0.403
354|C10H14|1-(1-methylethyl)-4-methylbenzene|99-87-6|134.221|205.22|450.26|652.00|28.00|497.00|0.248|0.376
355|C10H14|1,2,4,5-tetramethylbenzene (durene)|95-93-2|134.221|352.45|470.00|676.00|29.00|482.00|0.249|0.423
356|C10H18|cis-bicyclo[4.4.0]decane (cis-decalin)|493-01-6|138.253|230.14|468.92|703.60|32.00|480.00|0.265|0.276
357|C10H18|trans-bicyclo[4.4.0]decane (trans-decalin)|493-02-7|138.253|242.75|460.42|687.00|32.00|480.00|0.272|0.303
358||1-decene|872-05-9|140.269|206.89|443.75|617.00|22.20|584.00|0.253|
359|C10H20O2|decanoic acid|334-48-5|172.268|305.15|541.92|726.00|22.30|||0.749
360||decane|124-18-5|142.285|243.49|447.30|617.70|21.10|624.00|0.256|0.490
361|C10H22|2,2,5-trimethylheptane|20291-95-6|142.285||423.90|598.90|22.40|569.00|0.256|0.398
362|C10H22|3,3,5-trimethylheptane|7154-80-5|142.285||428.83|609.60|23.20|564.00|0.258|0.383
363|C10H22|2,2,3,3-tetramethylhexane|13475-81-5|142.285|219.19|433.46|623.00|25.10|||0.366
364|C10H22|2,2,5,5-tetramethylhexane|1071-81-4|142.285|260.60|410.61|581.40|21.90|||0.377
365|C10H22O|1-decanol|112-30-1|158.284|280.05|504.25|684.40|23.70|600.00|0.252|0.661
366|C10H24N4|octamethylethenetetramine|996-70-3|200.326||477.44|680.00||646.21||
367|C11H10|1-methylnaphthalene|90-12-0|142.200|242.69|517.84|772.00|36.00|462.00|0.259|0.348
368|C11H10|2-methylnaphthalene|91-57-6|142.200|307.71|514.20|761.00|35.40|462.00|0.258|0.374
369|C11H24|undecane|1120-21-4|156.312|247.57|469.08|639.00|19.80|689.00|0.257|0.537
370|C11H24O|1-undecanol|112-42-5|172.311||521.24|705.00|22.40|||0.656
371|C12H10|1,1â€™-biphenyl|92-52-4|154.211|342.35|528.23|773.00|33.80|497.00|0.261|0.404
372|C12H12|1,6-dimethylnaphthalene|575-43-9|156.227|257.00|539.50|784.00|31.00|517.00|0.246|
373|C12H12|2,7-dimethylnaphthalene|582-16-1|156.227|368.85|535.00|775.00|32.30|||
374|C12H18|1,3,5-triethylbenzene|102-25-0|162.276||488.93|679.00|24.35|624.14|0.269|0.527
375|C12H20|1,3-dimethyltricyclo[3.3.1.13J]decane|702-79-4|164.292||476.44|708.00||571.45||
376|C12H24|1-dodecene|112-41-4|168.323|237.95|486.95|658.00|19.30|||
377|C12H26|dodecane|112-40-3|170.338|263.57|489.48|658.00|18.20|754.00|0.251|0.576
378|C12H26O|1-dodecanol|112-53-8|186.338|297.10|537.79|720.00|20.80|718.00|0.249|0.684
379|C13H12|diphenylmethane|101-81-5|168.238|298.39|537.65|760.00|27.10|563.00|0.241|0.481
380|C13H28|tridecane|629-50-5|184.365|267.76|508.63|675.00|16.80|823.00|0.246|0.618
381|C13H28O|1-tridecanol|112-70-9|200.365||553.72|734.00|19.35|||0.712
382|C14H10|phenanthrene|85-01-8|178.233|372.35|611.55|869.00|28.70|554.00|0.220|0.479
383|C14H10|anthracene|120-12-7|178.233|492.65|614.39|869.30|28.70|554.00|0.220|0.501
384|C14H22|1,4-di(trimethylmethyl)benzene|1012-72-2|190.330|350.80|510.43|708.00|23.00|732.0|0.286|0.506
385|C14H30|tetradecane|629-59-4|198.392|279.01|526.76|693.00|15.70|894.00|0.244|0.644
386|C14H30O|1-tetradecanol|112-72-1|214.392||569.04|747.00|18.10|||0.744
387|C15H32|pentadecane|629-62-9|212.419|283.08|543.83|708.00|14.80|966.00|0.243|0.685
388|C15H32O|1-pentadecanol|629-76-5|228.419||583.68|759.00|17.00|||0.778
389|C16H34|hexadecane|544-76-3|226.446|291.32|559.98|723.00|14.00|1034.00|0.241|0.718
390|C16H34|2,2,4,4,6,8,8-heptamethylnonane|4390-04-9|226.446||520.25|693.00|15.70|||0.548
391|C16H34O|1-hexadecanol|4485-13-6|242.446|322.45|597.53|770.00|16.10|||0.818
392|C17H36|heptadecane|629-78-7|240.473|295.13|574.56|736.00|13.40|1103.00|0.242|0.753
393|C17H36O|1-heptadecanol|1454-85-9|256.472|327.00|611.12|780.00|15.00|||0.853
394|C18H14|1,2-diphenylbenzene|84-15-1|230.309|329.35|605.15|857.00|29.90|||
395|C18H14|1,3-diphenylbenzene|92-06-8|230.309|360.15|636.15|883.00|24.80|724.00|0.245|
396|C18H14|1,4-diphenylbenzene|92-94-4|230.309|483.25|649.15|908.00|29.90|729.00|0.289|
397||octadecane|593-45-3|254.500|301.32|588.30|747.00|12.90|1189.00|0.247|0.800
398|C18H38O|1-octadecanol|112-92-5|270.499|331.00|623.57|790.00|14.40|||0.892
399|C19H40|nonadecane|629-92-5|268.527|305.25|602.34|755.00|11.60|||0.845
400|C19H40O|1-nonadecanol|1454-84-8|284.526||635.41|799.00|13.80|||0.934
401||eicosane|112-95-8|282.554|309.95|616.84|768.00|10.70|||0.865
402|C20H42O|1-eicosanol|629-96-9|298.553|339.00|647.69|809.00|13.00|||0.954
403|C21H44|heneicosane|629-94-7|296.580|313.65|629.65|778.00|10.30|||
404|C22H46|docosane|629-97-0|310.607|317.55|641.75|786.00|9.80|||
405|C23H48|tricosane|638-67-5|324.634|320.65|653.35|790.00|9.20|||
406|C24H50|tetracosane|646-31-1|338.661|324.05|664.45|800.00|8.70|||
407|ClD|deuterium chloride|7698-05-7|37.467|158.51|188.43|323.50||||
408|ClFO3|perchloryl fluoride|7616-94-6|102.449|125.41|226.49|368.40|53.70|161.00|0.282|
409|ClF5|chlorine pentafluoride|13637-63-3|130.445|171.15|259.28|416.00|53.00|230.40||
410|ClH|hydrogen chloride|7647-01-0|36.461|158.97|188.15|324.69|83.10|81.00|0.249|
411|ClH4N|ammonium chloride|12125-02-9|53.491|793.20|613.16|882.00||165.00||
412|ClNO|nitrogen oxychloride|2696-92-6|65.459|213.55|267.77|440.60|91.20|||
413|Cl2|chlorine|7782-50-5|70.905|172.19|239.12|417.00|77.00|124.00|0.275|
414|DH|deuterium hydride|13983-20-5|3.022|16.59|22.13|35.90|14.80|62.70|0.311|-0.176
415|DI|deuterium iodide|14104-45-1|128.919|221.28|237.52|421.80||||
416|D2|deuterium|7782-39-0|4.028|18.63|22.13|38.25|16.50|60.20|0.312|
417|D2|deuterium, normal|800000-54-8|4.028|18.72|23.65|38.35|16.65|60.20|0.314|-0.143
418|D2O|deuterium oxide|7789-20-0|20.028|276.96|374.55|643.89|216.71|56.26|0.228|
419|D2S|deuterium sulfide|13536-94-2|36.094|187.15||372.30|89.00|96.00|0.276|
420|d3n|trideuteroammonia|13550-49-7|20.049|198.82|242.10|405.50|113.00|72.00|0.241|
421|d3p|trideuterophosphine|13537-03-6|37.016|||323.60|65.00|||
422|FH|hydrogen fluoride|7664-39-3|20.006|189.58|292.68|461.00|65.00|69.00|0.117|
423|FNO2|nitrogen dioxyfluoride|10022-50-1|65.004|107.15|200.75|349.30|82.00|||
424|F2|fluorine|7782-41-4|37.997|53.48|84.95|144.30|52.15|66.20|0.288|0.051
425|F2HN|difluoroamine|10405-27-3|53.012|157.15|250.15|403.00|63.00|97.00|0.182|
426|F2N2|cis-difluorodiazene|13812-43-6|66.010||167.40|272.00|68.00|113.30||
427|F2N2|trans-difluorodiazene|13776-62-0|66.010|101.15|161.70|260.00|64.00|113.30||
428|F2O|oxygen difluoride|7783-41-7|53.996|49.35|128.38|215.20|49.50|97.60|0.270|
429|F2Xe|xenon difluoride|13709-36-9|169.287|402.18||631.00|93.00|149.00|0.264|
430|F3N|nitrogen trifluoride|7783-54-2|71.002|66.37|144.11|234.00|45.30|118.75|0.256|0.124
431|f3no|trifluoroamine oxide|13847-65-9|87.001|112.15|185.65|302.60|64.00|150.10||
432|F4N2|tetrafluorohydrazine|10036-47-2|104.007|111.65|198.95|309.20|37.00|181.00|0.222|
433|F4S|sulfur tetrafluoride|7783-60-0|108.060|148.15|233.15|364.00|43.30|146.00|0.209|0.258
434|F4Xe|xenon tetrafluoride|13709-61-0|207.284|390.25||612.00|70.40|189.00|0.261|
435|F6S|sulfur hexafluoride|2551-62-4|146.056|222.45|209.25|318.72|37.60|198.40|0.282|0.208
436|F6U|uranium hexafluoride|7783-81-5|352.070|337.00|324.96|503.35|45.31|250.00|0.271|0.277
437|HI|hydrogen iodide|10034-85-2|127.912|222.38|237.57|423.90|90.00|132.70||0.038
438|H2|hydrogen|1333-74-0|2.016|13.83|20.27|32.98|12.93|64.20|0.303|-0.217
439|H2|hydrogen, normal|800000-51-5|2.016|13.56|20.38|33.25|12.97|65.00|0.305|-0.216
440|H2O|water|7732-18-5|18.015|273.15|373.15|647.14|220.64|55.95|0.229|0.344
441|H2S|hydrogen sulfide|7783-06-4|34.082|187.62|212.84|373.40|89.63|98.00|0.283|0.090
442|H2S2|dihydrogen disulfide|13465-07-1|66.148|183.35|344.25|572.00|59.10|150.00|0.186|
443|H2S3|dihydrogen trisulfide|13845-23-3|98.214||443.13|738.00|51.30|205.00|0.171|
444|H2S4|dihydrogen tetrasulfide|13845-25-5|130.280||513.14|855.00|43.70|260.00|0.160|
445|H2S5|dihydrogen pentasulfide|13845-24-4|162.346||558.10|930.00|38.90|315.00|0.158|
446|H2Se|hydrogen selenide|7783-07-5|80.976|207.42|228.25|411.00|89.20|||
447|H3N|ammonia|7664-41-7|17.031|195.41|239.82|405.40|113.53|72.47|0.255|0.257
448|h3p|phosphine|7803-51-2|33.998|139.37|185.42|324.50|65.40|||
449|H4N2|hydrazine|302-01-2|32.045|274.68|386.65|653.01|147.00|101.10|0.282|
450|He|helium|7440-59-7|4.003|2.15|4.30|5.19|2.27|57.30|0.301|-0.390
451|He|helium-3|14762-55-1|3.017|1.01|3.33|3.31|1.14|72.50|0.300|-0.480
452|I2|iodine|7553-56-2|253.809|386.76|457.56|819.00||155.00||
453|Kr|krypton|7439-90-9|83.800|115.77|119.74|209.40|55.00|91.20|0.288|
454|NO|nitrogen monoxide (nitric oxide)|10102-43-9|30.006|109.51|121.38|180.00|64.80|58.00|0.251|0.582
455|N2|nitrogen|7727-37-9|28.014|63.15|77.35|126.20|33.98|90.10|0.289|0.037
456|N2O|dinitrogen oxide (nitrous oxide)|10024-97-2|44.013|182.33|184.67|309.60|72.55|97.00|0.273|
457|N2O4|dinitrogen tetroxide (nitrogen dioxide)|10544-72-6|92.011|261.95|302.22|431.01|101.00|||1.007
458|Ne|neon|7440-01-9|20.180|24.56|27.07|44.40|27.60|41.70|0.312|-0.016
459|ot2|tritium oxide|14940-65-9|22.032|277.64||641.72|214.10|56.00|0.225|
460|O2|oxygen|7782-44-7|31.999|54.36|90.17|154.58|50.43|73.37|0.288|
461|O2S|sulfur dioxide|7446-09-5|64.065|197.67|263.13|430.80|78.84|122.00|0.269|
462|O3|ozone|10028-15-6|47.998|80.65|161.80|261.05|55.70|89.40|0.229|0.224
463|O3S|sulfur trioxide|7446-11-9|80.064|289.95|317.90|490.90|82.10|126.50|0.254|
464|Rn|radon|10043-92-2|222.018|202.15|209.80|377.00|63.00|140.00|0.281|
465|S|sulfur|7704-34-9|32.066|392.75|717.75|1313.01|182.00|158.00|0.263|
466|Se|selenium|7782-49-2|78.960|494.00|957.95|1766.00|271.60|62.30|0.118|
467|T2|tritium|10028-17-8|6.032|||40.00|18.50|55.30|0.308|
468|Xe|xenon|7440-63-3|131.290|161.25|165.01|289.74|58.40|118.00|0.286|